"Block.Size"	"Transactions.in.block"	"Un.modified.Base.Reward"	"Block.Penalty"	"New.base.reward"	"Fees.in.Block"	"Total.Block.Reward.with.Fees"	"Remaining.of.txs.in.txpool"	"Num.transactions.entered.into.txpool"	"Oldest.tx"	"Median100"
651001.139591693	26	8305100553304.03	7825208141538.97	479892411765.062	8446675387544.52	8926567799309.58	880	47	22	330343.62137193
627501.997048298	30	8305099637981.89	7890575570835.31	414524067146.585	8141716915095.81	8556240982242.39	891	40	22	317766.843653108
610642.588342629	22	8305098847339.98	8130286101639.99	174812745699.99	7826967685245.42	8001780430945.41	918	48	23	306945.094392227
575923.877121106	24	8305098513911.13	0	8305098513911.13	7339220908606.18	15644319422517.3	931	36	23	3e+05
581109.250078323	23	8305082673192.83	0	8305082673192.83	7390796588017.44	15695879261210.3	964	55	23	3e+05
570598.540418155	23	8305066832504.75	0	8305066832504.75	7006370562105.36	15311437394610.1	976	34	24	3e+05
580296.490059552	23	8305050991846.88	7249951691810.3	1055099300036.58	6991712807519.35	8046812107555.94	1003	49	24	3e+05
576978.711262372	21	8305048979404.68	7079335083153.9	1225713896250.78	6867573550596.28	8093287446847.06	1038	55	24	3e+05
554458.061871054	20	8305046641540.95	5974918645552.32	2330127995988.63	6599474069929.83	8929602065918.47	1028	9	25	3e+05
576861.124554251	21	8305042197174.5	7073319754612.54	1231722442561.96	6866173727046.22	8097896169608.19	1049	41	26	3e+05
584125.404921235	19	8305039847850.39	7449366583617.34	855673264233.047	6759118858545.83	7614792122778.88	1075	44	27	3e+05
554864.086285536	23	8305038215783.16	0	8305038215783.16	6279960515132.94	14584998730916.1	1076	23	27	3e+05
565431.214791985	19	8305022375179.87	6501331136524.23	1803691238655.64	6338358603589.91	8142049842245.55	1082	24	28	3e+05
568544.185436207	22	8305018934911.85	0	8305018934911.85	6242089633234.18	14547108568146	1115	54	28	3e+05
563829.754977639	21	8305003094345.34	0	8305003094345.34	6167227937974.11	14472231032319.5	1143	48	29	3e+05
545682.254653822	19	8304987253809.04	0	8304987253809.04	5797215962401.74	14102203216210.8	1156	31	29	3e+05
545263.479636493	23	8304971413302.96	0	8304971413302.96	5792766207911.62	14097737621214.6	1168	34	30	300237.903725086
656231.535651062	24	8304955572827.09	6376855554665.15	1928100018161.94	7127264857691.8	9055364875853.74	1192	47	31	349754.497886737
829931.992790836	34	8304951895268.15	8249758272010.43	55193623257.7227	9012775494308.74	9067969117566.46	1198	39	31	415657.749385517
996252.786873342	32	8304951789994.67	7994365411605.71	310586378388.962	10834986507740.7	11145572886129.7	1214	47	32	502872.767688464
970542.925443887	39	8304951197598.17	8453028062679.06	-148076865080.892	9855688261338.27	9707611396257.38	1213	37	33	483127.442894681
