""	"(Intercept)"	""	""	""
"78"	"242432752544.828"	"1789f22c5a5cfac2990ea9d7783a28fa"	"23427.6467695058"	"4"
"78"	"138910224053.836"	"7832244be063709e792cb3d539a01746"	"13423.6798767708"	"4"
"78"	"396193797788.902"	"ce0405b29021ab384d37b7d4895a8515"	"38286.4454139755"	"4"
"78"	"114535003819.547"	"2d7681e99353b1827a0d8f22de2661d4"	"11068.1646108529"	"4"
"79"	"531835196274.572"	"c8cd642ce809eeb319477eb4daad1d7f"	"50956.3034259635"	"4"
"79"	"256781823600.369"	"c0ab81df1d640ac37c6168dd8ce4919b"	"24602.8330003518"	"4"
"79"	"530677885595.961"	"34f9d7562b1d749e834a91ed4fe1a82a"	"50845.4189367259"	"4"
"79"	"201589682295.331"	"e8a08cafb288ef5c90b23344e68c1deb"	"19314.7521836467"	"4"
"79"	"533111671996.631"	"675e2e4088050c9fcbd35df5e0d4f9b6"	"51078.6053809013"	"4"
"79"	"228507513817.554"	"f01cbddaa3e76746165a10e61c71946f"	"21893.8090046759"	"4"
"79"	"144455971943.489"	"8d850693741bd7d8f67c445004c3d744"	"13840.6453533109"	"4"
"79"	"228510567402.93"	"793da2ba8a1d668316ec2e339acd3fd4"	"21894.1015754272"	"4"
"79"	"138703460419.751"	"4ce734695f0ab4225632d265f3711a58"	"13289.484533722"	"4"
"79"	"119172045134.33"	"44c878f234ceae383575c99dc420c249"	"11418.1365473647"	"4"
"79"	"246631939102.806"	"c50c5da77086a3256d42ab1736a17e4e"	"23630.3501751849"	"4"
"79"	"119857463735.873"	"a2746990aeae12b5c8a6e1c23ee19e56"	"11483.8080156666"	"4"
"79"	"530459037790.98"	"e572d349476e9c88ac72cebabbec02f3"	"50824.450645735"	"4"
"79"	"118826103053.753"	"a2e28ac63db1f063cda74969725f445a"	"11384.9910734487"	"4"
"79"	"123482601000.733"	"f6d9408e0162c3e969ac5a75b4c9ae0c"	"11831.140414355"	"4"
"79"	"128040295238.09"	"120ece5d16cb33caacb9c0e4e49690b7"	"12267.8231538735"	"4"
"79"	"542373150572.999"	"47b1a5ff7abe126a8209bc12f1b308a9"	"51965.9680748641"	"4"
"79"	"410779853237.585"	"f7d923a3280ea743798af1a53f70c996"	"39357.7239518397"	"4"
"79"	"132097719085.163"	"c1d72e68940c434ed307a2a2292f910a"	"12656.5738836624"	"4"
"79"	"150945201353.111"	"44444d51c68a4e91ed95da235154fcd3"	"14462.392738805"	"4"
"79"	"540592375878.206"	"49cc9c46916be86402bf75f3236de104"	"51795.3481228248"	"4"
"79"	"134800341216.059"	"d9404aa8963a094e9400b1fdd5977765"	"12915.5180722238"	"4"
"79"	"123259298504.513"	"a6c7fabf5c05205c6cf3fe4627485493"	"11809.745309569"	"4"
"80"	"542972873129.406"	"9043b69b29d535450771de0da57ce8ca"	"50599.3344580028"	"4"
"80"	"139795225018.523"	"0b0081a04a05e009e240aef2095e0937"	"13027.4378268216"	"4"
"80"	"263004117796.036"	"60dcda9fcd3aa94bf4feff042379276c"	"24509.2047481016"	"4"
"80"	"127540120876.014"	"28f85502f262a03056996a5dfe513914"	"11885.3916141801"	"4"
"80"	"131862081403.695"	"fe615733c5bc0ab4af12f331df96fca8"	"12288.1526674055"	"4"
"80"	"141781010869.724"	"067379e86c885f55d987d47294a8c130"	"13212.4920853663"	"4"
"80"	"122364782383.784"	"30c214c1bb36d580b2475ea9b07865ef"	"11403.1047518688"	"4"
"80"	"139539210059.887"	"10c77de3d32a30a6ab4e22cd4afe1db1"	"13003.5799378563"	"4"
"80"	"269111544917.692"	"618bdd50b49e50881887fd2111d2de50"	"25078.3524217698"	"4"
"80"	"137007275151.291"	"a392ff77fe0432d416e85f8ba792c609"	"12767.6303580411"	"4"
"80"	"146284115560.94"	"fcc4e14574ba34f1bada8c3e427a8d0d"	"13632.1338605751"	"4"
"80"	"254148375553.386"	"8c4ac448d7eed85cb3a101912e97c5c2"	"23683.9431452021"	"4"
"80"	"555984509160.371"	"e180f015cafb10fe6863b2ad1c6bc8f4"	"51811.8814487613"	"4"
"80"	"136277419305.338"	"47d06eddbcfd541ddc45b2dc18cf810e"	"12699.615505213"	"4"
"80"	"122921205937.474"	"8a0f78ac49f41e160fc6324c0c892ed6"	"11454.9575476286"	"4"
"80"	"133924124200.927"	"6a1603a67f379ca1e299dbc1aa0b51f4"	"12480.3132675521"	"4"
"80"	"193384865339.597"	"eab9831dc0ca43d4a3b4d60168ce6384"	"18021.426050325"	"4"
"80"	"147826230883.086"	"8882c20c7202f1845b969d186f3afb37"	"13775.8427138524"	"4"
"80"	"411752864743.18"	"4dbfc3892347059b8740f8f1f0a19e4b"	"38371.016211367"	"4"
"80"	"413403985243.781"	"e45e617812f536bcf4e02a5a12d02c88"	"38524.8831954741"	"4"
"80"	"264882369904.685"	"7b6b98a18801efc25c37f5e0204ad39d"	"24684.2379980947"	"4"
"80"	"538247161157.819"	"1b742ff0a5b13900ff9801fd14fb2008"	"50158.9480364411"	"4"
"80"	"255063041020.921"	"71513f06b031c57e202f3e6285721830"	"23769.1803019724"	"4"
"80"	"138740756892.927"	"10e7378a1374e78b367e849abd4808e8"	"12929.1725395433"	"4"
"80"	"151921193028.51"	"9ca8e00b24d2b33bda274709f240d478"	"14157.4499164277"	"4"
"80"	"127343723399.198"	"d63c401b549eaf8a9e4036eef127ca57"	"11867.089444573"	"4"
"80"	"544491838217.218"	"737b49e8a0c66201ebc608678ddb17d4"	"50740.8859540569"	"4"
"80"	"120264889004.505"	"474fc9fdd3a55694a3529ae194f1ee81"	"11207.4168774233"	"4"
"80"	"270175501357.808"	"fd75bdad1e226411f63960f1ff8b789f"	"25177.501919703"	"4"
"80"	"256054908055.296"	"948b21946d727bc97b175fe80cb735e7"	"23861.6118290227"	"4"
"80"	"149981741459.91"	"4d29fd00f9264c8845612dca645acde3"	"13976.7135234305"	"4"
"80"	"554269292679.103"	"745fdb18204a166391c27b0ab92d131b"	"51652.0413965257"	"4"
"80"	"207528662928.48"	"64a9753116d3bb94d9c583b84876d6bb"	"19339.4785353073"	"4"
"80"	"536519398651.062"	"9943ec2a05be591c2d7e7293672dffc2"	"49997.9388271973"	"4"
"80"	"134414176091.37"	"a36b24557d109f7cf495a10cdcbc00bd"	"12525.9809256128"	"4"
"81"	"157650533476.956"	"3615ed8b4df4645aa0515aa3ee90ff0a"	"14406.635059719"	"4"
"81"	"411768842531.518"	"22e580c2781e99a3c9799e2bacf624bc"	"37628.8193416205"	"4"
"81"	"160749604734.984"	"2e8e3664f2c5355dcebd850ad43839c4"	"14689.8385963883"	"4"
"81"	"128982969125.503"	"5a0179a45ba8d070422db9a2b9a3efb9"	"11786.8967781307"	"4"
"81"	"148850689141.781"	"f39602640eead3e1eacae76fe0a9eeb9"	"13602.4757389532"	"4"
"81"	"559620487792.291"	"b0e022d6a6edca019741f21e332f9b10"	"51139.9990964441"	"4"
"81"	"411860263067.906"	"7c4822086126a36f47dc7c18a8117184"	"37637.1736571794"	"4"
"81"	"421055201337.814"	"45f24b386a14bfe30940d09908d1ce90"	"38477.4379882265"	"4"
"81"	"568258504603.474"	"1cd797401952254c343ec0fa9143bf4a"	"51929.3700747328"	"4"
"81"	"143894089279.545"	"8ca2179e2e7b76dd48fc2b217cd92172"	"13149.5250017916"	"4"
"81"	"710748780190.51"	"77281ce21e8bff6432a30842756654a0"	"64950.609868008"	"4"
"81"	"544784629457.192"	"de5596af917a1b4e59cb32f5267da5dd"	"49784.2485504892"	"4"
"81"	"252298015805.604"	"ce44dc990e288a88fef605773906c1ae"	"23055.8397731895"	"4"
"81"	"274402402178.521"	"64a7364962120d50014b36a1f422dbb8"	"25075.8128152737"	"4"
"81"	"162451957164.483"	"ed51c3a563f6ce05345a424d61286111"	"14845.4052770326"	"4"
"81"	"252350467078.417"	"056976fcb656bdbb4284bed77be8fac9"	"23060.632946604"	"4"
"81"	"152967562405.318"	"5f8e7f040572602b78e2a7a835f4228a"	"13978.6894401492"	"4"
"81"	"146788871679.308"	"6b3a9eebd62d350f4184fea8d2bddc9f"	"13414.0599366942"	"4"
"81"	"124028049272.516"	"18e28cf838ecef7f8d00e8549e3e64ac"	"11334.099565855"	"4"
"81"	"413621129503.051"	"f952da670ebf42bb4d4fa8c47eb04fcb"	"37798.0875441201"	"4"
"81"	"154384085840.021"	"b6f5c64772cc8b9aadf0275bf9f927d2"	"14108.1361075801"	"4"
"81"	"430283412163.056"	"06fd4339f0f8be40509c2326cf62dd94"	"39320.7428770922"	"4"
"81"	"286275107106.032"	"f05cdf557ac5bd364917f906b13ebd5e"	"26160.7804540758"	"4"
"81"	"116609002935.742"	"09de9b53b12aa1f463380b8d0657e7b4"	"10656.122202203"	"4"
"81"	"152033277912.584"	"e387f975ab633b34d987ac27698cf396"	"13893.3113863493"	"4"
"81"	"130786865237.223"	"ea1b9a57c67688501a5690f101616b1f"	"11951.7428613886"	"4"
"81"	"561659443950.971"	"eef42d233fd63682723fdb77794eec9d"	"51326.3257560057"	"4"
